ADRESSE_ID|||||||||||||||||||ERP_ID_ADRESSE
RCB_ADR000000383331|||||||||||||||||||67888
RCB_ADR000000379226|||||||||||||||||||167579
RCB_ADR000000379229|||||||||||||||||||82122
RCB_ADR000000379231|||||||||||||||||||144896
RCB_ADR000000379233|||||||||||||||||||178271
RCB_ADR000000379236|||||||||||||||||||123149
RCB_ADR000000379234|||||||||||||||||||132510
RCB_ADR000000379237|||||||||||||||||||173671
RCB_ADR000000379238|||||||||||||||||||69489
RCB_ADR000000379241|||||||||||||||||||132909
RCB_ADR000000379243|||||||||||||||||||170283
RCB_ADR000000379246|||||||||||||||||||132490
RCB_ADR000000379247|||||||||||||||||||174021
RCB_ADR000000379250|||||||||||||||||||120718
RCB_ADR000000379248|||||||||||||||||||89402
RCB_ADR000000379251|||||||||||||||||||106163
RCB_ADR000000379254|||||||||||||||||||182227
RCB_ADR000000379252|||||||||||||||||||125546
RCB_ADR000000379256|||||||||||||||||||133027
RCB_ADR000000379249|||||||||||||||||||164093
RCB_ADR000000379259|||||||||||||||||||127294
RCB_ADR000000379263|||||||||||||||||||181225
RCB_ADR000000379265|||||||||||||||||||144926
RCB_ADR000000379266|||||||||||||||||||129018
RCB_ADR000000379269|||||||||||||||||||182541
RCB_ADR000000379273|||||||||||||||||||174099
RCB_ADR000000379275|||||||||||||||||||103765
RCB_ADR000000379276|||||||||||||||||||171293
RCB_ADR000000379280|||||||||||||||||||192223
RCB_ADR000000379283|||||||||||||||||||91313
RCB_ADR000000379282|||||||||||||||||||181269
RCB_ADR000000379284|||||||||||||||||||94873
RCB_ADR000000379289|||||||||||||||||||132470
RCB_ADR000000379291|||||||||||||||||||68875
RCB_ADR000000379288|||||||||||||||||||174237
RCB_ADR000000379290|||||||||||||||||||171331
RCB_ADR000000379292|||||||||||||||||||168191
RCB_ADR000000379296|||||||||||||||||||99029
RCB_ADR000000379297|||||||||||||||||||167461
RCB_ADR000000379305|||||||||||||||||||145427
RCB_ADR000000379302|||||||||||||||||||174345
RCB_ADR000000379307|||||||||||||||||||129246
RCB_ADR000000379308|||||||||||||||||||173735
RCB_ADR000000379306|||||||||||||||||||166027
RCB_ADR000000379311|||||||||||||||||||129490
RCB_ADR000000379312|||||||||||||||||||80285
RCB_ADR000000379315|||||||||||||||||||95431
RCB_ADR000000379317|||||||||||||||||||174791
RCB_ADR000000379320|||||||||||||||||||172251
RCB_ADR000000379324|||||||||||||||||||175245
RCB_ADR000000379327|||||||||||||||||||178687
RCB_ADR000000380127|||||||||||||||||||104535
RCB_ADR000000380126|||||||||||||||||||112906
RCB_ADR000000380120|||||||||||||||||||131712
RCB_ADR000000380132|||||||||||||||||||149354
RCB_ADR000000380133|||||||||||||||||||97768
RCB_ADR000000380134|||||||||||||||||||176899
RCB_ADR000000380136|||||||||||||||||||100234
RCB_ADR000000380138|||||||||||||||||||66624
RCB_ADR000000380139|||||||||||||||||||132586
RCB_ADR000000380137|||||||||||||||||||163793
RCB_ADR000000380144|||||||||||||||||||88492
RCB_ADR000000380146|||||||||||||||||||117762
RCB_ADR000000380147|||||||||||||||||||148496
RCB_ADR000000380142|||||||||||||||||||177135
RCB_ADR000000380148|||||||||||||||||||176929
RCB_ADR000000380149|||||||||||||||||||165953
RCB_ADR000000380150|||||||||||||||||||190865
RCB_ADR000000380152|||||||||||||||||||73568
